"X","Nom.cité.dans.le.texte","Nom.français.cité.dans.le.texte","Nom.valide","INTITULE","ARRETE","ARTICLE","CD_NOM"
NA,"Armeria alliacea (Cav.) Hoffm. et Link.","Armérie faux-plantain","Armeria arenaria (Pers.) Schult., 1820 subsp. arenaria","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",131641
NA,"Armeria alliacea (Cav.) Hoffm. et Link.","Armérie faux-plantain","Armeria arenaria subsp. bupleuroides (Godr. & Gren.) Greuter & Burdet, 1989","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",131643
NA,"Armeria alliacea (Cav.) Hoffm. et Link.","Armérie faux-plantain","Armeria arenaria subsp. pradetensis Médail, Baumel & Auda, 2009","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",459326
NA,"Armeria alliacea (Cav.) Hoffm. et Link.","Armérie faux-plantain","Armeria arenaria subsp. praecox (Jord.) Kerguélen, 1987","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",131645
NA,"Armeria alliacea (Cav.) Hoffm. et Link.","Armérie faux-plantain","Armeria arenaria (Pers.) Schult., 1820","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",83809
NA,"Aconitum napellus L. ssp. neomontanum (Wulf.) Gayer","Aconit pyramidal","Aconitum napellus subsp. lusitanicum Rouy, 1884","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",130787
NA,"Alchemilla glaucescens Wallr.","Alchémille glauque","Alchemilla glaucescens Wallr., 1840","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",81091
NA,"Anagallis tenella (L.) L.","Mouron délicat","Lysimachia tenella L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",107085
NA,"Anthericum ramosum L.","Phalangère rameuse","Anthericum ramosum L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",82909
NA,"Apium repens (Jacq.) Lag.","Ache rampante","Helosciadium repens (Jacq.) W.D.J.Koch, 1824","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",101223
NA,"Atriplex glabriuscula Edmondston","Arroche de Babington","Atriplex glabriuscula Edmondston, 1845","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",85063
NA,"Bothriochloa ischaemum (L.) Keng","Barbon pied-de-Poule","Bothriochloa ischaemum (L.) Keng, 1936","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",86169
NA,"Botrychium lunaria (L.) Swartz","Botryche lunaire","Botrychium lunaria (L.) Sw., 1801 var. lunaria","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",970780
NA,"Botrychium lunaria (L.) Swartz","Botryche lunaire","Botrychium lunaria (L.) Sw., 1801","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",86183
NA,"Carex canescens L.","Laiche tronquée","Carex divulsa Stokes, 1787","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",88483
NA,"Carex diandra Schrank","Laiche arrondie","Carex diandra Schrank, 1781","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",88468
NA,"Carex halleriana Asso","Laiche de Haller","Carex halleriana Asso, 1779","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",88560
NA,"Carex laevigata Smith","Laiche lisse","Carex laevigata Sm., 1800","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",88608
NA,"Carex lasiocarpa Ehr.","Laiche filiforme","Carex lasiocarpa Ehrh., 1784 subsp. lasiocarpa","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",960921
NA,"Carex lasiocarpa Ehr.","Laiche filiforme","Carex lasiocarpa Ehrh., 1784","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",88614
NA,"Carex mairei Coss. et Germain","Laiche de Maire","Carex mairei Coss. & Germ., 1840","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",88656
NA,"Carex ornithopoda Willd","Laiche pied d'oiseau","Carex ornithopoda Willd., 1805 subsp. ornithopoda","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",132775
NA,"Carex ornithopoda Willd","Laiche pied d'oiseau","Carex ornithopoda subsp. elongata (Leyb.) Vierh., 1920","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",132774
NA,"Carex ornithopoda Willd","Laiche pied d'oiseau","Carex ornithopoda subsp. ornithopodioides (Hausm.) Nyman, 1882","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",132776
NA,"Carex ornithopoda Willd","Laiche pied d'oiseau","Carex ornithopoda Willd., 1805","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",88737
NA,"Carex pulicaris L.","Laiche puce","Carex pulicaris L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",88802
NA,"Carex reichenbachii E. Bonnet","Laiche de Reichenbach","Carex pseudobrizoides Clavaud, 1876","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",88792
NA,"Carex trinervis Degl.","Laiche à trois nervures","Carex trinervis Degl. ex Loisel., 1807","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",88921
NA,"Centaurium littorale (Turn.) Gilm.","Erythrée du littoral","Centaurium littorale (Turner) Gilmour, 1937 subsp. littorale","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",133034
NA,"Centaurium littorale (Turn.) Gilm.","Erythrée du littoral","Centaurium littorale (Turner) Gilmour, 1937","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",89845
NA,"Cephalanthera longifolia (L.) Fritsch","Céphalanthère à feuilles en épée","Cephalanthera longifolia (L.) Fritsch, 1888","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",89926
NA,"Chrysosplenium alternifolium L.","Dorine à feuilles alternes","Chrysosplenium alternifolium L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",91118
NA,"Cicuta virosa L.","Cigüe vireuse","Cicuta virosa L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",91199
NA,"Circaea intermedia Ehrh.","Circée intermédiaire","Circaea x intermedia Ehrh., 1789","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",91267
NA,"Coeloglossum viride (L.) Hartm.","Coeloglosse vert ; Orchis grenouille","Coeloglossum viride (L.) Hartm., 1820","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",92097
NA,"Comarum palustre L.","Comaret des marais","Comarum palustre L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",92217
NA,"Currania dryopteris (L.) Wherry","Polypode du chêne","Gymnocarpium dryopteris (L.) Newman, 1851","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",100636
NA,"Cynoglossum germanicum Jacq.","Cynoglosse d'Allemagne","Cynoglossum germanicum Jacq., 1767","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",93830
NA,"Dactylorhiza incarnata (L.) Soo","Orchis incarnat","Dactylorhiza incarnata (L.) Soó, 1962 subsp. incarnata","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",133675
NA,"Dactylorhiza incarnata (L.) Soo","Orchis incarnat","Dactylorhiza incarnata (L.) Soó, 1962 var. incarnata","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",146004
NA,"Dactylorhiza incarnata (L.) Soo","Orchis incarnat","Dactylorhiza incarnata nothosubsp. dufftii (Hausskn.) B.Bock, 2012","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",162477
NA,"Dactylorhiza incarnata (L.) Soo","Orchis incarnat","Dactylorhiza incarnata subsp. cruenta (O.F.Müll.) P.D.Sell, 1967","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",133674
NA,"Dactylorhiza incarnata (L.) Soo","Orchis incarnat","Dactylorhiza incarnata var. hyphaematodes (Neuman) Landwehr, 1975","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",146003
NA,"Dactylorhiza incarnata (L.) Soo","Orchis incarnat","Dactylorhiza incarnata var. serotina (Hausskn.) Soó, 1962","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",923047
NA,"Dactylorhiza incarnata (L.) Soo","Orchis incarnat","Dactylorhiza incarnata var. straminea (Rchb.f.) Soó, 1962","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",619231
NA,"Dactylorhiza incarnata (L.) Soo","Orchis incarnat","Dactylorhiza incarnata (L.) Soó, 1962","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",94259
NA,"Dactylorhiza praetermissa (Druce) Soo","Orchis ignorée","Dactylorhiza praetermissa (Druce) Soó, 1962","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",94273
NA,"Dentaria pinnata Lam.","Dentaire pennée","Cardamine heptaphylla (Vill.) O.E.Schulz, 1903","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",87925
NA,"Elatine hexandra (Lapierre) DC.","Elatine à six étamines","Elatine hexandra (Lapierre) DC., 1808","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",95858
NA,"Eleocharis acicularis (L.) Roem. et Schult","Scirpe épingle","Eleocharis acicularis (L.) Roem. & Schult., 1817","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",95889
NA,"Eleocharis ovata (Roth) Roem. et Schult","Scirpe ovale","Eleocharis ovata (Roth) Roem. & Schult., 1817","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",95919
NA,"Eleocharis quinqueflora (Hartm.) Schwarz","Scirpe pauciflore","Eleocharis quinqueflora (Hartmann) O.Schwarz, 1949","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",95927
NA,"Equisetum hyemale L.","Prêle d'hiver","Equisetum hyemale L., 1753 subsp. hyemale","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",788972
NA,"Equisetum hyemale L.","Prêle d'hiver","Equisetum hyemale L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",96523
NA,"Equisetum sylvaticum L.","Prêle des bois","Equisetum sylvaticum L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",96545
NA,"Erica cinerea L.","Bruyère cendrée","Erica cinerea L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",96667
NA,"Erica tetralix L.","Bruyère quaternée","Erica tetralix L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",96695
NA,"Eriophorum angustifolium Honch.","Linaigrette à feuilles étroites","Eriophorum angustifolium Honck., 1782 subsp. angustifolium","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",718348
NA,"Eriophorum angustifolium Honch.","Linaigrette à feuilles étroites","Eriophorum angustifolium Honck., 1782","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",96844
NA,"Eriophorum latifolium Hoppe","Linaigrette à feuilles larges","Eriophorum latifolium Hoppe, 1800","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",96852
NA,"Eriophorum vaginatum L.","Linaigrette engainée","Eriophorum vaginatum L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",96861
NA,"Euphorbia palustris L.","Euphorbe des marais","Euphorbia palustris L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",97601
NA,"Fritillaria meleagris L.","Fritillaire pintade","Fritillaria meleagris L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",98977
NA,"Fumana procumbens (Dun.) Gr. et G.","Fumana vulgaire","Fumana procumbens (Dunal) Gren. & Godr., 1847","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",99028
NA,"Galium boreale L.","Gaillet boréal","Galium boreale L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",99390
NA,"Galium saxatile L.","Gaillet du Harz","Galium saxatile L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",99529
NA,"Genista anglica L.","Genêt d'Angleterre","Genista anglica L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",99721
NA,"Genista pilosa L.","Genêt poilu","Genista pilosa L., 1753 subsp. pilosa","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",134984
NA,"Genista pilosa L.","Genêt poilu","Genista pilosa subsp. cebennensis Coulot, Rabaute & J.Molina, 2016","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",892194
NA,"Genista pilosa L.","Genêt poilu","Genista pilosa L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",99798
NA,"Gentiana cruciata L.","Gentiane croisette","Gentiana cruciata L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",99881
NA,"Gentiana pneumonanthe L.","Gentiane pneumonanthe","Gentiana pneumonanthe L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",99922
NA,"Geranium sanguineum L.","Géranium sanguin","Geranium sanguineum L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",100149
NA,"Geranium sylvaticum L.","Géranium des bois","Geranium sylvaticum L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",100160
NA,"Gnaphalium luteo-album L.","Gnaphale jaunâtre","Laphangium luteoalbum (L.) Tzvelev, 1994","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",610681
NA,"Gymnadenia odoratissima (L.) Rich.","Gymnadenie odorante","Gymnadenia odoratissima (L.) Rich., 1817","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",100614
NA,"Herminium monorchis (L.) R. Brown","Herminium à un seul bulbe","Herminium monorchis (L.) R.Br., 1813","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",101315
NA,"Hypericum elodes L.","Millepertuis des marais","Hypericum elodes L., 1759","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",103272
NA,"Inula salicina L.","Inule à feuilles de saule","Inula salicina L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",103648
NA,"Isopyrum thalictroides L.","Isopyre faux-pigamon","Isopyrum thalictroides L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",103917
NA,"Juncus squarrosus L.","Jonc rude","Juncus squarrosus L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",104334
NA,"Laserpitium latifolium L.","Laser blanc","Laserpitium latifolium L., 1753 subsp. latifolium","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",718371
NA,"Laserpitium latifolium L.","Laser blanc","Laserpitium latifolium L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",105076
NA,"Lathraea squamaria L.","Clandestine écailleuse","Lathraea squamaria L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",105148
NA,"Lathyrus niger (L.) Berch.","Gesse noire","Lathyrus niger (L.) Bernh., 1800 subsp. niger","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",137134
NA,"Lathyrus niger (L.) Berch.","Gesse noire","Lathyrus niger (L.) Bernh., 1800 var. niger","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",613540
NA,"Lathyrus niger (L.) Berch.","Gesse noire","Lathyrus niger var. angustifolius Rouy, 1899","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",148091
NA,"Lathyrus niger (L.) Berch.","Gesse noire","Lathyrus niger (L.) Bernh., 1800","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",105230
NA,"Lathyrus palustris L.","Gesse des marais","Lathyrus palustris L., 1753 subsp. palustris","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",137139
NA,"Lathyrus palustris L.","Gesse des marais","Lathyrus palustris L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",105239
NA,"Leucoium vernum L.","Nivéole printanière","Leucojum vernum L., 1753 var. vernum","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",982167
NA,"Leucoium vernum L.","Nivéole printanière","Leucojum vernum L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",105841
NA,"Limodorum abortivum (L.) Swartz","Limodore avorté","Limodorum abortivum (L.) Sw., 1799 var. abortivum","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",982236
NA,"Limodorum abortivum (L.) Swartz","Limodore avorté","Limodorum abortivum (L.) Sw., 1799","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",106026
NA,"Lithospermum purpureocaeruleum L.","Grémil bleu pourpre","Aegonychon purpurocaeruleum (L.) Holub, 1973","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",80317
NA,"Littorella lacustris (L.) Asch.","Littorelle des étangs","Littorella uniflora (L.) Asch., 1864","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",106419
NA,"Luronium natans (L.) Rafin","Flûteau nageant","Luronium natans (L.) Raf., 1840","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",106807
NA,"Menyanthes trifoliata L.","Ményanthe trèfle d'eau","Menyanthes trifoliata L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",108345
NA,"Montia fontana L.","Montie des fontaines","Montia fontana L., 1753 subsp. fontana","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",137879
NA,"Montia fontana L.","Montie des fontaines","Montia fontana subsp. amporitana Sennen, 1911","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",137877
NA,"Montia fontana L.","Montie des fontaines","Montia fontana subsp. minor (C.C.Gmel.) Schübl. & G.Martens, 1834","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",137883
NA,"Montia fontana L.","Montie des fontaines","Montia fontana L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",108785
NA,"Myriophyllum alterniflorum DC.","Myriophylle à fleurs alternes","Myriophyllum alterniflorum DC., 1815","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",109139
NA,"Nardus stricta L.","Nard raide","Nardus stricta L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",109366
NA,"Nymphoides peltata (Gmel.) Kuntze","Faux-nénufar","Nymphoides peltata (S.G.Gmel.) Kuntze, 1891","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",109769
NA,"Ononis pusilla L.","Bugrane naine","Ononis pusilla L., 1759 subsp. pusilla","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",923255
